ID;Godzina rozpocz©cia;Godzina ukoäczenia;Adres e-mail;Nazwa;Czas ostatniej modyfikacji;Masz jaki˜ pomysˆ na projekt data? Napisz nam o tym. Je¾eli to nie ten moment, pozostaw puste pole.;W jaki spos¢b chcesz uczestniczy† w Community?;Programming: R;Programming: Python;Programming: Bash;Version Control: GIT;Containers: Docker;CLI: (np. Bash, PowerShell, CMD);Front End: (HTML, JavaScript, CSS);Databases: SQL;Databases: NoSQL;Cloud: Azure;Cloud: AWS;Cloud: GPC;BI: PowerBI;BI: Tableau;Area: Time Series;Area: Classical ML (Clustering, Regression, Classification);Area: NLP;Area: Computer Vision;Project Management;Promocja w Social Media;Ux/Ui;Projektowanie graficzne;Nawi¥zywanie Relacji z Biznesem;Nawi¥zywanie Relacji z naukowcami;Pozyskiwanie finansowania;Wsp¢ˆpraca z administracj¥ UEW;Je¾eli jest obszar, na kt¢rym si© znasz i chcesz go wykorzysta†, dopisz go:;FinTech;HealthTech;FashionTech;E-commerce;SportTech;Non-profit;PropTech (nieruchomo˜ci);Cybersecurity;HR;Je¾eli pomini©to bran¾©, na kt¢rej si© znasz dopisz j¥:
47;3.8.24 8:26:00;3.8.24 8:39:45;anonymous;;;"Jest wiele platform agreguj¥cych ogˆoszenia z portali online, pozwalaj¥ one na filtrowanie np. ofert prywatnych, tych wystawionych przez biura po˜rednictwa czy nawet komornika lub syndyka. Wszystkie tego typu platformy zapewniaj¥ bogate opcje filtrowania ale ¾adna z nich nie ?˜ledzi? obecnie panuj¥cych trend¢w. 
Proponuj© stworzenie oprogramowania zbieraj¥cego oferty z rynku ale poza zwykˆym filtrowaniem (wielko˜†, ilo˜† pokoi, cena za m2, itd.) skupiaj¥ca si© na wyszukiwaniu okazji w danych lokalizacjach. 
Docelowym odbiorc¥ mogˆyby by† osoby fizyczne chc¥ce kupi† nieruchomo˜† do remontu poni¾ej ceny rynkowej. 
Celem projektowym byˆoby stworzenie oprogramowania, kt¢re w pierwszej kolejno˜ci musiaˆoby stworzy† baz© uszeregowanych ofert nieruchomo˜ci po czym w ramach ˜ci˜le okre˜lonych parametr¢w wyˆoni† rokuj¥ce na okazje inwestycyjne. 

To na ten moment bardzo lu«ny pomysˆ i musiaˆbym go jeszcze przemy˜le†/przedyskutowa† :) ";"Chc© uczestniczy† w projekcie data i organizowa† ""¾ycie"" Community";0;2;0;2;0;0;2;2;1;2;2;2;1;1;0;0;0;0;2;0;2;1;2;2;2;0;;0;0;0;0;0;0;3;2;0;
48;3.8.24 13:43:55;3.8.24 13:46:14;anonymous;;;;Chc© uczestniczy† w projekcie data;3;3;2;2;0;0;1;3;2;2;2;2;3;2;0;0;0;0;2;1;1;1;2;1;2;1;;2;2;1;2;2;1;2;2;1;
49;3.9.24 8:14:37;3.9.24 8:20:24;anonymous;;;;Chc© uczestniczy† w projekcie data;1;2;2;3;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;;2;2;2;2;2;2;2;2;2;
50;3.9.24 14:20:17;3.9.24 14:23:58;anonymous;;;;"Chc© uczestniczy† w projekcie data i organizowa† ""¾ycie"" Community";2;3;0;0;0;2;2;3;3;2;1;1;3;2;0;0;0;0;3;1;1;2;2;1;1;1;;1;3;1;1;2;2;2;1;2;
51;3.9.24 19:57:00;3.9.24 20:00:27;anonymous;;;;Chc© uczestniczy† w projekcie data;1;4;3;4;4;4;3;3;3;2;2;3;1;1;2;2;3;3;3;2;2;2;2;2;2;1;;1;4;0;1;1;1;0;1;0;
52;3.9.24 20:49:04;3.9.24 20:54:44;anonymous;;;;Chc© uczestniczy† w projekcie data;3;2;0;0;0;0;0;3;2;2;2;2;2;2;0;0;0;0;2;1;1;1;2;1;1;1;;0;0;0;0;0;0;0;0;0;
53;3.10.24 16:31:07;3.10.24 16:35:29;anonymous;;;;Chc© uczestniczy† w projekcie data;2;2;0;2;1;0;2;3;2;2;2;1;3;2;2;2;2;2;1;1;1;1;1;1;1;1;DataViz;3;2;2;2;2;2;2;1;2;Finance
54;3.11.24 19:38:54;3.11.24 19:42:08;anonymous;;;;Chc© uczestniczy† w projekcie data;3;2;0;0;0;0;0;3;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;;0;0;1;2;2;1;1;1;1;
55;3.13.24 9:28:54;3.13.24 9:35:55;anonymous;;;Analizy, modele ML w sporcie, a w szczeg¢lno˜ci piˆka no¾na. Popularny temat ostatnio w akademiach piˆkarskich wielkich klub¢w - wykorzystywanie Big Daty do weryfikowania wst©pnych umiej©tno˜ci przyszˆych mˆodych zawodnik¢w z caˆego ˜wiata. Nic nie weryfikowaˆem z dost©pno˜ci¥ danych, lu«ny temat. ;Chc© uczestniczy† w projekcie data;1;3;1;2;2;1;2;3;2;3;2;1;2;2;1;2;2;2;2;1;2;1;2;2;1;1;;2;2;1;1;2;1;2;2;1;
56;3.15.24 7:11:47;3.15.24 7:12:01;anonymous;;;;"P¢ki co chc© czerpa†, obserwowa†, ""konsumowa† content""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;3.15.24 10:36:44;3.15.24 10:40:03;anonymous;;;Mn¢stwo computer vision;"Chc© uczestniczy† w projekcie data i organizowa† ""¾ycie"" Community";0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;defense
58;3.15.24 20:41:43;3.15.24 20:53:12;anonymous;;;Pseudo klon portalu Bumbeo. Baza danych zawieraj¥ce informacje na temat ˜rednich zarobk¢w w r¢¾nych krajach, koszt¢w ¾ycia i innych danych. Z t¥ r¢¾nic¥, ¾e dane nie pochodziˆyby od u¾ytkownik¢w, tylko z gotowych «r¢deˆ danych (urz©dowe bazy statystyczne itp.). Nie musi by† taka sama tematyka jak na numbeo, ale wykonuj¥c taki projekt mo¾na by troch© si© podszkoli† bazodanowo/scrappowo, a przy tym mo¾e stworzy† co˜ ciekawego dla innych.;Chc© uczestniczy† w projekcie data;1;2;2;2;2;2;1;2;2;2;2;2;3;1;0;2;2;2;1;1;1;1;1;1;1;1;Rozbijanie zˆo¾onych temat¢w na mniejsze obszary i definiowanie rzeczy do zrobienia, kategoryzowanie oraz wizualizacje w ramach map my˜li. // Wykorzystywanie j©zyk¢w obcych w praktyce (np. wsparcie przy komunikacji podczas nawi¥zywanie, kt¢re˜ z wy¾ej wymienionych relacji).;2;2;2;2;1;1;1;2;1;SSC i BPO / Automotive
59;3.18.24 19:40:09;3.18.24 19:48:37;anonymous;;;Biblioteka do analizy graf¢w oparta na zapytaniach sql;"Chc© uczestniczy† w projekcie data i organizowa† ""¾ycie"" Community";2;4;4;4;3;4;0;4;4;0;3;0;1;1;3;4;4;3;3;1;2;1;3;3;1;1;;4;3;0;1;1;1;1;3;1;Insurance, Debt Collection, OperationsTech, Intelligence
60;3.25.24 15:50:03;3.25.24 15:50:19;anonymous;;;;"P¢ki co chc© czerpa†, obserwowa†, ""konsumowa† content""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;3.25.24 18:28:32;3.25.24 18:31:47;anonymous;;;;Chc© uczestniczy† w projekcie data;1;2;0;2;0;0;0;4;0;0;0;0;3;2;2;2;2;0;1;1;0;0;2;2;1;1;;0;0;0;0;0;0;0;0;0;produkcja FMCG
62;3.26.24 9:52:57;3.26.24 9:57:41;anonymous;;;Swarm wirtualnych asystent¢w do pisania kodu w oparciu i wymagania biznesowe i human in the loop;"Chc© organizowa† ""¾ycie"" Community";;;;;;;;;;;;;;;;;;;2;1;1;1;2;1;2;1;AWS, OpenAI, LLMs, RAGs, Python, Go, Infrastructure as a Code, DevOps, MLOps;3;3;1;2;1;1;0;3;1;
63;4.3.24 15:24:10;4.3.24 15:33:56;anonymous;;;Mam pomysˆ lecz do˜† og¢lny. Pomysˆ polegana wsparciu procesu researchu.;"Chc© uczestniczy† w projekcie data i organizowa† ""¾ycie"" Community";2;3;3;3;3;3;3;3;2;2;3;2;2;2;2;2;3;2;3;2;2;2;3;2;3;2;;3;2;2;3;2;3;2;2;2;
64;4.3.24 19:14:10;4.3.24 19:18:22;anonymous;;;;"Chc© uczestniczy† w projekcie data i organizowa† ""¾ycie"" Community";1;3;2;3;2;2;1;3;2;3;2;3;4;1;1;1;1;1;1;2;2;1;2;2;2;2;;2;2;1;1;2;2;1;2;0;
65;4.8.24 10:31:25;4.8.24 10:32:10;anonymous;;;;"P¢ki co chc© czerpa†, obserwowa†, ""konsumowa† content""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;4.8.24 21:45:20;4.8.24 21:46:43;anonymous;;;Cze˜†, bardzo chciaˆabym mie† taki pomysˆ, jednak jestem dopiero pocz¥tkuj¥ca. My˜le, ¾e z samej obserwacji te¾ si© du¾o naucz©.;"P¢ki co chc© czerpa†, obserwowa†, ""konsumowa† content""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;4.14.24 18:29:20;4.14.24 18:33:23;anonymous;;;;Chc© uczestniczy† w projekcie data;4;4;1;2;2;1;1;4;3;1;1;1;3;1;3;4;3;2;1;1;1;1;1;1;1;1;;3;1;1;1;2;1;1;1;1;
